,Ökobilanzdaten im Baubereich,,
,,,
,,,
ID-Nummer,BAUMATERIALIEN,"Bezug
Référence","Treibhausgas-
emissionen"
No d'identi-fication,,,Emissions de gaz
,,,à effet de serre
,Hinweis: Anzeigen der herstellerspezifischen und herstellerregionenspezifischen Daten durch Anklicken der '+' am linken Rand.,,Total
,,,Total
,,,kg CO2-eq
07.007.01,"Massivholz Buche / Eiche, kammergetrocknet, rau, Produktion Schweiz",kg,0.109
07.006,"Massivholz Buche / Eiche, luftgetrocknet, rau",kg,0.12
07.006.01,"Massivholz Buche / Eiche, luftgetrocknet, rau, Produktion Schweiz",kg,0.0979
07.011,"Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt",kg,0.173
07.011.01,"Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt, Produktion Schweiz",kg,0.156
07.011.02,"Massivholz Fichte / Tanne, kammergetr., Vollholzhaus holzpur",kg,0.133
07.010,"Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt",kg,0.156
07.010.01,"Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt, Produktion Schweiz",kg,0.142
07.009,"Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau",kg,0.129
07.009.01,"Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau, Produktion Schweiz",kg,0.12
07.012,"Mitteldichte Faserplatte (MDF), UF-gebunden",kg,0.954
07.013,"OSB Platte, PF-gebunden, Feuchtbereich",kg,0.563
07.024,Röhrenspanplatte,kg,0.813
07.015,"Spanplatte, PF-gebunden, Feuchtbereich",kg,0.529
07.016,"Spanplatte, UF-gebunden, beschichtet, Trockenbereich",kg,0.735
07.014,"Spanplatte, UF-gebunden, Trockenbereich",kg,0.529
07.018,"Sperrholz/Multiplex, PF-gebunden, Feuchtbereich",kg,1.43
07.017,"Sperrholz/Multiplex, UF-gebunden, Trockenbereich",kg,0.948
07.019,"Stabschichtholz, Buche",,0.0
07.019.01,"Stabschichtholz, Buche, fagus",kg,0.367
